company,valuation,industry,city,country,continent,year_founded,funding,select_investors,year_joined
Swiggy,11000000000,"Supply chain, logistics, & delivery",Bengaluru,India,Asia,2014,5000000000,"Accel India, SAIF Partners, Norwest Venture Partners",2018
Weilong Foods,11000000000,Consumer & retail,Luohe,China,Asia,1999,558000000,"Tencent Holdings, Hillhouse Capital Management, Yunfeng Capital",2021
Global Switch,11000000000,Hardware,London,United Kingdom,Europe,1998,5000000000,"Aviation Industry Corporation of China, Essence Financial, Jiangsu Sha Steel Group",2016
Bolt,11000000000,Fintech,San Francisco,United States,North America,2014,1000000000,"Activant Capital, Tribe Capital, General Atlantic",2021
Zuoyebang,10000000000,Edtech,Beijing,China,Asia,2014,3000000000,"Sequoia Capital China, Xiang He Capital, GGV Capital",2018
Ripple,10000000000,Fintech,San Francisco,United States,North America,2012,294000000,"IDG Capital, Venture51, Lightspeed Venture Partners",2019
OYO Rooms,10000000000,Travel,Gurugram,India,Asia,2012,3000000000,"SoftBank Group, Sequoia Capital India,Lightspeed India Partners",2018
FTX,32000000000,Fintech,,Bahamas,North America,2018,2000000000,"Sequoia Capital, Thoma Bravo, Softbank",2021
OutSystems,10000000000,Internet software & services,Boston,United States,North America,2001,572000000,"KKR, ES Ventures, North Bridge Growth Equity",2018
ServiceTitan,10000000000,Internet software & services,Glendale,United States,North America,2012,1000000000,"Bessemer Venture Partners, ICONIQ Capital, Battery Ventures",2018
Alchemy,10000000000,Fintech,San Francisco,United States,North America,2017,564000000,"DFJ Growth Fund, Coatue Management, Addition",2021
Chehaoduo,10000000000,E-commerce & direct-to-consumer,Beijing,China,Asia,2015,4000000000,"Sequoia Capital China, GX Capital",2016
Digital Currency Group,10000000000,Fintech,New York,United States,North America,2015,1000000000,"Ribbit Capital, capitalG, Softbank Group",2021
Figma,10000000000,Internet software & services,San Francisco,United States,North America,2012,333000000,"Index Ventures, Greylock Partners, Kleiner Perkins Caufield & Byers",2020
Gusto,10000000000,Fintech,San Francisco,United States,North America,2011,691000000,"General Catalyst Partners, Google Ventures, Kleiner Perkins Caufield & Byers",2015
Lalamove,10000000000,"Supply chain, logistics, & delivery",Cheung Sha Wan,Hong Kong,Asia,2013,2000000000,"MindWorks Ventures, Shunwei Capital Partners, Xiang He Capital",2019
Notion Labs,10000000000,Internet software & services,San Francisco,United States,North America,2016,343000000,"Index Ventures, Draft Ventures, Felicis Ventures",2020
reddit,10000000000,Internet software & services,San Francisco,United States,North America,2005,1000000000,"Y Combinator, Sequoia Capital, Coatue Management",2017
Talkdesk,10000000000,Internet software & services,San Francisco,United States,North America,2011,497000000,"DJF, Salesforce Ventures, Storm Ventures",2018
Thrasio,10000000000,Other,Walpole,United States,North America,2018,2000000000,"Upper90, RiverPark Ventures, Advent International",2020
Dunamu,9000000000,Fintech,Seoul,South Korea,Asia,2012,71000000,"Qualcomm Ventures, Woori Investment, Hanwha Investment & Securities",2021
Yanolja,9000000000,Travel,Seoul,South Korea,Asia,2005,2000000000,"SBI Investment Korea, Partners Investment, GIC",2019
Pony.ai,9000000000,Artificial intelligence,Fremont,United States,North America,2016,1000000000,"Sequoia Capital China, IDG Capital, DCM Ventures",2018
Nuro,9000000000,Auto & transportation,Mountain View,United States,North America,2016,2000000000,"SoftBank Group, Greylock Partners, Gaorong Capital",2019
Snyk,9000000000,Cybersecurity,Boston,United States,North America,2015,1000000000,"BOLDstart Ventures, Google Ventures, Accel",2020
Kavak,9000000000,E-commerce & direct-to-consumer,Lerma de Villada,Mexico,North America,2016,2000000000,"DST Global, SoftBank Group, Mountain Nazca",2020
N26,9000000000,Fintech,Berlin,Germany,Europe,2013,2000000000,"Redalpine Venture Partners, Earlybird Venture Capital, Valar Ventures",2019
Klaviyo,9000000000,Internet software & services,Boston,United States,North America,2012,679000000,"Summit Partners, Accel, Astral Capital",2020
Niantic,9000000000,Mobile & telecommunications,San Francisco,United States,North America,2015,770000000,"Nintendo, Google, Pokemon Company International, Spark Capital",2017
Tanium,9000000000,Cybersecurity,Kirkland,United States,North America,2007,775000000,"Andreessen Horowitz, Nor-Cal Invest, TPG Growth",2015
Dream11,8000000000,Internet software & services,Mumbai,India,Asia,2007,2000000000,"Kaalari Capital, Tencent Holdings, Steadview Capital",2019
Netskope,8000000000,Cybersecurity,Santa Clara,United States,North America,2012,1000000000,"Lightspeed Venture Partners, Social Capital, Accel",2018
Razorpay,8000000000,Fintech,Bengaluru,India,Asia,2013,742000000,"Sequoia Capital India, Tiger Global Management, Matrix Partners India",2020
Dapper Labs,8000000000,Fintech,Vancouver,Canada,North America,2018,607000000,"Union Square Ventures, Venrock, Andreessen Horowitz",2021
Lacework,8000000000,Cybersecurity,San Jose,United States,North America,2015,2000000000,"Sutter Hill Ventures, Liberty Global Ventures, Coatue Management",2021
Tipalti,8000000000,Fintech,San Mateo,United States,North America,2010,549000000,"01 Advisors, Zeev Ventures, Group 11",2020
Hopin,8000000000,Internet software & services,London,United Kingdom,Europe,2019,1000000000,"Accel, Northzone Ventures, Institutional Venture Partners",2020
Caris Life Sciences,8000000000,Health,Irving,United States,North America,1996,1000000000,"Sixth Street Partners, OrbiMed Advisors, Highland Capital Management",2021
Ramp,8000000000,Fintech,New York,United States,North America,2019,660000000,"D1 Capital Partners, Stripe, Coatue Management",2021
Tempus,8000000000,Health,Chicago,United States,North America,2015,820000000,"New Enterprise Associates, T. Rowe Associates, Lightbank",2018
Fireblocks,8000000000,Fintech,New York,United States,North America,2018,1000000000,"Tenaya Capital, Coatue Management, Stripes Group",2021
Flexport,8000000000,"Supply chain, logistics, & delivery",San Francisco,United States,North America,2013,2000000000,"Bloomberg Beta, Founders Fund, First Round Capital",2018
National Stock Exchange of India,7000000000,Fintech,Mumbai,India,Asia,1998,297000000,"TA Associates, SoftBank Group, GS Growth",2020
Meicai,7000000000,Mobile & telecommunications,Beijing,China,Asia,2014,1000000000,"Tiger Global Management, Blue Lake Capital, ZhenFund",2016
Impossible Foods,7000000000,Consumer & retail,Redwood City,United States,North America,2011,2000000000,"Khosla Ventures, Horizons Ventures, Temasek Holdings",2019
CRED,7000000000,Fintech,Bengaluru,India,Asia,2018,922000000,"Tiger Global Management, DST Global, Sequoia Capital India",2021
Circle,3000000000,Fintech,Boston,United States,North America,2013,711000000,"General Catalyst, Digital Currency Group, Accel",2018
Attentive,7000000000,Mobile & telecommunications,Hoboken,United States,North America,2016,863000000,"NextView Ventures, Eniac Ventures, Sequoia Capital",2020
Ola Cabs,7000000000,Auto & transportation,Bengaluru,India,Asia,2010,4000000000,"Accel Partners, SoftBank Group, Sequoia Capital",2014
Rippling,7000000000,Internet software & services,San Francisco,United States,North America,2017,447000000,"Initialized Capital, Y Combinator, Kleiner Perkins Caufield & Byers",2020
Carta,7000000000,Fintech,San Francisco,United States,North America,2012,1000000000,"Menlo Ventures, Spark Capital, Union Square Ventures",2019
Toss,7000000000,Fintech,Seoul,South Korea,Asia,2013,844000000,"Bessemer Venture Partners, Qualcomm Ventures, Kleiner Perkins Caufield & Byers",2018
Ziroom,7000000000,E-commerce & direct-to-consumer,Beijing,China,Asia,2011,2000000000,"Sequoia Capital China, Warburg Pincus, General Catalyst",2018
Scale AI,7000000000,Artificial intelligence,San Francisco,United States,North America,2018,603000000,"Accel, Y Combinator, Index Ventures",2019
Gong,7000000000,Artificial intelligence,Palo Alto,United States,North America,2015,583000000,"Norwest Venture Partners, Next World Capital, Wing Venture Capital",2020
TripActions,7000000000,Travel,Palo Alto,United States,North America,2015,912000000,"Andreessen Horowitz, Lightspeed Venture Partners, Zeev Ventures",2018
1Password,7000000000,Cybersecurity,Toronto,Canada,North America,2005,920000000,"Slack Fund, Accel, Skip Capital",2021
Automation Anywhere,7000000000,Artificial intelligence,San Jose,United States,North America,2003,849000000,"General Atlantic, Goldman Sachs, New Enterprise Associates",2018
Gemini,7000000000,Fintech,New York,United States,North America,2015,424000000,"Morgan Creek Digital, Marcy Venture Partners, 10T Fund",2021
ConsenSys,7000000000,Fintech,New York,United States,North America,2014,660000000,"Third Point, Electric Capital, Coinbase Ventures",2021
Ro,7000000000,Health,New York,United States,North America,2017,1000000000,"Initialized Capital, General Catalyst, SignalFire",2020
Black Unicorn Factory,6000000000,Other,Los Angeles,United States,North America,2020,645000000,Barter Ventures,2021
Easyhome,6000000000,Consumer & retail,Beijing,China,Asia,1999,2000000000,"Alibaba Group, Boyu Capital, Borui Capital",2018
SVOLT,6000000000,Auto & transportation,Changzhou,China,Asia,2018,3000000000,"IDG Capital, Bank Of China Group Investment,, SDIC CMC Investment Management",2020
Airwallex,6000000000,Fintech,Melbourne,Australia,Oceania,2015,802000000,"DST Global, Sequoia Capital China, Tencent Holdings",2019
Deel,6000000000,Fintech,San Francisco,United States,North America,2018,629000000,"Andreessen Horowitz, Spark Capital, Y Combinator",2021
Mambu,6000000000,Fintech,Amsterdam,Netherlands,Europe,2011,448000000,"Runa Capital, Acton Capital Partners, Point Nine Capital",2021
Mollie,6000000000,Fintech,Amsterdam,Netherlands,Europe,2004,928000000,Technology Crossover Ventures,2020
FiveTran,6000000000,Data management & analytics,Oakland,United States,North America,2012,728000000,"Matrix Partners, Andreessen Horowitz, General Catalyst",2020
Postman,6000000000,Internet software & services,San Francisco,United States,North America,2014,433000000,"Nexus Venture Partners, CRV, Insight Partners",2020
Back Market,6000000000,E-commerce & direct-to-consumer,Paris,France,Europe,2014,1000000000,"Aglae Ventures, Eurazeo, Daphni",2021
Cityblock Health,6000000000,Health,Brooklyn,United States,North America,2017,891000000,"Thrive Capital, Maverick Ventures, Redpoint Ventures",2020
DataRobot,6000000000,Artificial intelligence,Boston,United States,North America,2012,1000000000,"New Enterprise Associates, Accomplice, IA Ventures",2019
Personio,6000000000,Internet software & services,Munich,Germany,Europe,2015,524000000,"Global Founders Capital, Nortzone Ventures, Picus Capital",2021
RELEX Solutions,6000000000,"Supply chain, logistics, & delivery",Helsinki,Finland,Europe,2005,803000000,"Blackstone, Technology Crossover Ventures, Summit Partners",2022
Vice Media,6000000000,Internet software & services,Brooklyn,United States,North America,1994,1000000000,"Technology Crossover Ventures, A&E Television Networks",2011
Workato,6000000000,Internet software & services,Mountain View,United States,North America,2013,415000000,"Battery Ventures, Storm Ventures, Redpoint Ventures",2021
Upgrade,6000000000,Fintech,San Francisco,United States,North America,2016,587000000,"Union Square Ventures, Ribbit Capital, VY Capital",2018
Lianjia,6000000000,E-commerce & direct-to-consumer,Beijing,China,Asia,2001,1000000000,"Tencent, Baidu, Huasheng Capital",2016
Hinge Health,6000000000,Health,San Francisco,United States,North America,2015,826000000,"Atomico, Insight Partners, Coatue Management",2021
Lyra Health,6000000000,Health,Burlingame,United States,North America,2015,910000000,"Greylock Partners, Venrock, Providence Ventures",2020
Benchling,6000000000,Internet software & services,San Francisco,United States,North America,2012,412000000,"Thrive Capital, Benchmark, MenloVentures",2021
Better.com,6000000000,Fintech,New York,United States,North America,2018,405000000,"Pine Brook, American Express Ventures, Kleiner Perkins Caufield & Byers",2020
iCapital Network,6000000000,Fintech,New York,United States,North America,2013,729000000,"BlackRock, Blackstone, UBS",2021
Wiz,6000000000,Cybersecurity,Tel Aviv,Israel,Asia,2020,600000000,"Insight Partners, Sequoia Capital, Index Ventures",2021
DailyHunt,5000000000,Internet software & services,Bengaluru,India,Asia,2007,869000000,"Falcon Edge Capital, Omidyar Network, Sequoia Capital India",2020
Howden Group Holdings,5000000000,Other,London,United Kingdom,Europe,1994,187000000,"General Atlantic, 3i Group, Huagai Capital",2020
Meesho,5000000000,Internet software & services,Bengaluru,India,Asia,2015,1000000000,"Venture Highway, Sequoia Capital India, Prosus Ventures",2021
Playco,1000000000,Other,Tokyo,Japan,Asia,2020,140000000,"Sozo Ventures, Caffeinated Capital, Sequoia Capital",2020
Meizu Technology,5000000000,Hardware,Zhuhai,China,Asia,2003,943000000,"Telling Telecommunication Holding Co., Alibaba Group",2014
CloudWalk Technology,5000000000,Artificial intelligence,Guangzhou,China,Asia,2015,514000000,"Oriza Holdings, Guangdong Technology Financial Group",2018
Royole Corporation,5000000000,Hardware,Shenzhen,China,Asia,2012,492000000,"Warmsun Holding, IDG Capital Partners",2015
Monzo,5000000000,Fintech,London,United Kingdom,Europe,2015,1000000000,"Passion Capital, Thrive Capital, Orange Digital Ventures",2018
Socure,5000000000,Cybersecurity,New York,United States,North America,2012,644000000,"Two Sigma Ventures, Flint Capital, Commerce Ventures",2021
VIPKid,5000000000,Edtech,Beijing,China,Asia,2013,1000000000,"Sequoia Capital China, Tencent Holdings, Sinovation Ventures",2016
Vinted,5000000000,E-commerce & direct-to-consumer,Vilnius,Lithuania,Europe,2008,562000000,"Accel, Insight Partners, Burda Principal Investments",2019
Lendable,5000000000,Fintech,London,United Kingdom,Europe,2014,286000000,"Ontario Teachers' Pension Plan, Goldman Sachs",2021
UBTECH Robotics,5000000000,Hardware,Shenzhen,China,Asia,2012,943000000,"CDH Investments, Goldstone Investments, Qiming Venture Partners",2016
Anduril,5000000000,Artificial intelligence,Irvine,United States,North America,2017,691000000,"Andreessen Horowitz, Founders Fund, Revolution Ventures",2019
Checkr,5000000000,Internet software & services,San Francisco,United States,North America,2014,559000000,"Y Combinator, Accel, T. Rowe Price",2019
Color,5000000000,Health,Burlingame,United States,North America,2013,497000000,"General Catalyst, Viking Global Investors, T. Rowe Price",2021
Dataiku,5000000000,Internet software & services,New York,United States,North America,2013,647000000,"Alven Capital, FirstMark Capital, capitalG",2019
BetterUp,5000000000,Internet software & services,San Francisco,United States,North America,2013,567000000,"Threshold Ventures, Lightspeed Venture Partners, Crosslink Capital",2021
Pleo,5000000000,Fintech,Copenhagen,Denmark,Europe,2015,428000000,"Creandum, Founders, Kinnevik",2021
Trade Republic,5000000000,Fintech,Berlin,Germany,Europe,2015,996000000,"Founders Fund, Accel, Creandum",2021
Chipone,5000000000,Hardware,Beijing,China,Asia,2008,1000000000,"China Grand Prosperity Investment, Silk Road Huacheng, Oriza Equity Investment",2021
Collibra,5000000000,Data management & analytics,Brussels,Belgium,Europe,2008,596000000,"Index Ventures, Battery Ventures, ICONIQ Capital",2019
Rappi,5000000000,"Supply chain, logistics, & delivery",Bogota,Colombia,South America,2015,2000000000,"DST Global, Andreessen Horowitz, Sequoia Capital, Redpoint e.ventures",2018
Cerebral,5000000000,Health,San Francisco,United States,North America,2020,462000000,"Oak HC/FT Partners, Artis Ventures, WestCap Group",2021
Creditas,5000000000,Fintech,Sao Paulo,Brazil,South America,2012,824000000,"Kaszek Ventures, Amadeus Capital Partners, Quona Capital",2020
OneTrust,5000000000,Internet software & services,Atlanta,United States,North America,2016,926000000,Insight Partners,2019
QuintoAndar,5000000000,E-commerce & direct-to-consumer,Campinas,Brazil,South America,2012,755000000,"Kaszek Ventures, General Atlantic, SoftBank Group",2019
C6 Bank,5000000000,Fintech,Sao Paulo,Brazil,South America,2018,2000000000,Credit Suisse,2020
Cockroach Labs,5000000000,Data management & analytics,New York,United States,North America,2015,633000000,"Google Ventures, Benchmark, FirstMark Capital",2021
Hopper,5000000000,Travel,Montreal,Canada,North America,2007,599000000,"Capital One Growth Ventures, Citi Ventures, OMERS Ventures",2021
Icertis,5000000000,Artificial intelligence,Bellevue,United States,North America,2009,371000000,"Eight Roads Ventures, Greycroft, Ignition Partners",2019
Moon Active,5000000000,Mobile & telecommunications,Tel Aviv,Israel,Asia,2011,425000000,"Insight Partners, Andalusian Capital Partners",2020
OfBusiness,5000000000,E-commerce & direct-to-consumer,Gurgaon,India,Asia,2015,734000000,"Matrix Partners India, Falcon Edge Capital, SoftBank Group",2021
Ola Electric Mobility,5000000000,Auto & transportation,Bengaluru,India,Asia,2019,761000000,"SoftBank Group, Tiger Global Management, Matrix Partners India",2019
Pine Labs,5000000000,Fintech,Noida,India,Asia,1998,903000000,"Sequoia Capital India, Temasek, PayPal Ventures",2020
Qonto,5000000000,Fintech,Paris,France,Europe,2016,704000000,"Alven Capital, Valar Ventures, Tencent Holdings",2022
SambaNova Systems,5000000000,Data management & analytics,Palo Alto,United States,North America,2017,1000000000,"Walden International, Google Ventures, Intel Capital",2021
United Imaging Healthcare,5000000000,Health,Shanghai,China,Asia,2011,503000000,"China Life Insurance, China Development Bank Capital, CITIC Securities International",2017
WM Motor,5000000000,Auto & transportation,Shanghai,China,Asia,2015,4000000000,"Baidu Capital, Linear Venture, Tencent",2019
ZEPZ,5000000000,Fintech,London,United Kingdom,Europe,2010,655000000,"Accel, Technology Crossover Ventures, LeapFrog Investments",2021
Abogen,4000000000,Health,Suzhou,China,Asia,2019,1000000000,"Hillhouse Capital Management, SoftBank Group, Qiming Venture Partners",2021
Greensill,4000000000,Fintech,London,United Kingdom,Europe,2011,2000000000,"SoftBank Group, General Atlantic",2018
Radiology Partners,4000000000,Health,El Segundo,United States,North America,2012,1000000000,"New Enterprise Associates, Starr Investment Holdings",2018
Yello Mobile,4000000000,Mobile & telecommunications,Seoul,South Korea,Asia,2012,216000000,Formation 8,2014
Turing,4000000000,Internet software & services,Palo Alto,United States,North America,2018,128000000,"Foundation Capital, Frontier Ventures, AltaIR Capital",2021
Lenskart,4000000000,E-commerce & direct-to-consumer,Faridabad,India,Asia,2008,776000000,"Chiratae Ventures, PremjiInvest, Softbank",2019
Kraken,4000000000,Fintech,San Francisco,United States,North America,2011,119000000,"Bnk To The Future, Trammell Ventures, SBI Investment",2019
Horizon Robotics,4000000000,Artificial intelligence,Beijing,China,Asia,2015,2000000000,"Hillhouse Capital Management, Linear Venture, Morningside Venture Capital",2019
MoonPay,4000000000,Fintech,Miami,United States,North America,2019,555000000,"New Enterprise Associates, Coatue Management, Tiger Global Management",2021
Celsius Network,4000000000,Fintech,Hoboken,United States,North America,2017,864000000,"WestCap Group, Caisse de depot et placement du Quebec",2021
ChargeBee Technologies,4000000000,Fintech,Walnut,United States,North America,2011,468000000,"Insight Partners, Tiger Global Management, Accel",2021
Coalition,4000000000,Cybersecurity,San Francisco,United States,North America,2017,505000000,"Two Sigma Ventures, Flint Capital, Commerce Ventures",2021
Commure,4000000000,Internet software & services,San Francisco,United States,North America,2017,542000000,"General Catalyst, HCA Healthcare",2021
Flock Safety,4000000000,Hardware,Atlanta,United States,North America,2017,381000000,"Matrix Partners, Initialized Capital, Tiger Global Management",2021
Next Insurance,4000000000,Fintech,Palo Alto,United States,North America,2016,881000000,"Zeev Ventures, Ribbit Capital, TLV Partners",2019
Handshake,4000000000,Internet software & services,San Francisco,United States,North America,2014,434000000,"Kleiner Perkins Caufield & Byers, Lightspeed Venture Partners, True Ventures",2021
